SA3Code,SA3Name,Income,TotalNum,TeenNum,MiddleNum,OldNum
20601,Brunswick - Coburg,61743,94533,37933,42109,14491
20902,Darebin - North,53191,102226,40416,42606,19204
21003,Moreland - North,53870,81716,32584,33774,15358
21105,Yarra Ranges,55163,156065,59816,62742,33507
21303,Maribyrnong,59248,89361,36987,40393,11981
20604,Melbourne City,70063,159050,88973,55362,14715
20904,Whittlesea - Wallan,52318,233187,99753,96562,36872
21302,Hobsons Bay,66925,89723,32824,38885,18014
20702,Manningham - West,61552,96871,33988,36766,26117
21202,Casey - North,54777,139108,57796,56642,24670
20701,Boroondara,95761,179615,72628,69463,37524
20801,Bayside,99223,104274,36749,41738,25787
21004,Sunbury,57928,41763,16930,16947,7886
21201,Cardinia,54309,102704,45077,41177,16450
21304,Melton - Bacchus Marsh,55339,167750,75179,69780,22791
21402,Mornington Peninsula,59166,163847,54145,59443,50259
20606,Stonnington - West,105934,69283,26849,29487,12947
21101,Knox,55511,161813,61383,66225,34205
20802,Glen Eira,73049,159622,63349,65328,30945
20803,Kingston,62987,124555,44256,53078,27221
21002,Macedon Ranges,64199,31312,11902,12774,6636
20602,Darebin - South,69498,56519,21296,25988,9235
21103,Maroondah,57223,115961,44013,47712,24236
20607,Yarra,78428,96656,38021,44455,14180
21102,Manningham - East,76605,27452,10305,10714,6433
21305,Wyndham,55005,246455,111670,107103,27682
20605,Port Phillip,86482,110598,37901,54683,18014
20804,Stonnington - East,101451,44454,18539,17025,8890
21203,Casey - South,51544,187712,86783,78339,22590
21205,Monash,58084,188673,78747,69827,40099
20703,Whitehorse - West,62240,109475,45742,40986,22747
20903,Nillumbik - Kinglake,67470,68608,26757,28372,13479
21001,Keilor,63121,62472,21950,24530,15992
21204,Dandenong,45640,200015,81605,78740,39670
20901,Banyule,65720,129192,47940,52085,29167
21301,Brimbank,47827,197888,82599,79128,36161
21401,Frankston,53982,140739,53739,57962,29038
20603,Essendon,73737,71953,28501,31077,12375
21005,Tullamarine - Broadmeadows,49636,176098,81367,70661,24070
21104,Whitehorse - East,57997,64483,23619,26154,14710
11703,Sydney Inner City,78454,239553,103984,107251,28318
12302,Campbelltown (NSW),53755,166032,72146,65426,28460
12802,Sutherland - Menai - Heathcote,67834,111530,43333,44749,23448
11501,Baulkham Hills,73477,151972,59921,60933,31118
12103,Ku-ring-gai,105701,124723,47866,48406,28451
12403,Penrith,60226,146502,63386,58717,24399
12502,Carlingford,58919,71120,27531,29530,14059
11502,Dural - Wisemans Ferry,84334,27387,10523,10316,6548
11702,Marrickville - Sydenham - Petersham,69448,58342,21999,26972,9371
12504,Parramatta,57982,150866,60544,67102,23220
11601,Blacktown,53578,142013,59151,58285,24577
11701,Botany,60081,50800,20984,21294,8522
11903,Hurstville,59207,135105,53794,53141,28170
12001,Canada Bay,78595,91207,34022,39065,18120
12002,Leichhardt,105148,59848,20564,28930,10354
12203,Warringah,76668,159461,59210,67609,32642
12301,Camden,64811,66629,29714,27157,9758
12405,St Marys,54074,56014,24591,22286,9137
12601,Pennant Hills - Epping,73995,50542,20126,19962,10454
10202,Wyong,51988,164194,61664,60423,42107
11802,Eastern Suburbs - South,81288,151986,64533,60997,26456
12303,Wollondilly,61245,43285,17848,17036,8401
10201,Gosford,57812,175042,61720,66158,47164
12104,North Sydney - Mosman,124280,101367,33057,46813,21497
12202,Pittwater,83666,63794,22416,24856,16522
12501,Auburn,47987,97821,43732,41641,12448
12102,Hornsby,66328,84396,32029,36373,15994
12201,Manly,110223,45411,16351,20311,8749
12602,Ryde - Hunters Hill,72931,143818,56930,58819,28069
11901,Bankstown,52034,181871,77988,69614,34269
12003,Strathfield - Burwood - Ashfield,64029,162872,67352,67201,28319
12101,Chatswood - Lane Cove,100054,120522,45862,52792,21868
12404,Richmond - Windsor,56663,37697,15915,14756,7026
11602,Blacktown - North,64616,100976,44646,44934,11396
11904,Kogarah - Rockdale,57117,149641,58846,61843,28952
12703,Liverpool,56080,125267,54880,51134,19253
11603,Mount Druitt,51401,117071,55178,45039,16854
11902,Canterbury,49544,143894,60468,57820,25606
12401,Blue Mountains,59516,78791,27003,30845,20943
12503,Merrylands - Guildford,49662,161118,71656,62530,26932
11504,Rouse Hill - McGraths Hill,68813,36218,15917,15365,4936
12701,Bringelly - Green Valley,56166,112509,52005,45172,15332
12801,Cronulla - Miranda - Caringbah,75473,115465,41954,46143,27368
11503,Hawkesbury,61299,25299,9950,10242,5107
11801,Eastern Suburbs - North,125005,137497,49769,60868,26860
12702,Fairfield,48995,194883,81162,75709,38012
12402,Blue Mountains - South, ,4,0,2,2
