Name,Type,Title
yr,String,Year
sa3_code16,String,SA3 Code 2016
eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,Integer,"Equivalised Total Household Income - Family, Lone Person And Group Households Median Equivalised Total Household Income (Weekly) $"
est_p_inc_avg_emply_inc_aud,Integer,Estimates Of Personal Income Mean Employee Income $
est_p_inc_avg_investment_inc_aud,Integer,Estimates Of Personal Income Mean Investment Income $
est_p_inc_avg_own_unincorportd_bsns_inc_aud,Integer,Estimates Of Personal Income Mean Own Unincorporated Business Income $
est_p_inc_avg_super_annuity_inc_aud,Integer,Estimates Of Personal Income Mean Superannuation And Annuity Income $
est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,Integer,Estimates Of Personal Income Mean Total Income (Excl. Government Pensions) $
est_p_inc_emply_inc_med_age_yrs,Integer,Estimates Of Personal Income Employee Income Earners - Median Age  Years
est_p_inc_emply_inc_mn_src_inc_pr100,Integer,Estimates Of Personal Income Employee Income As Main Source Of Income %
est_p_inc_emply_inc_num,Integer,Estimates Of Personal Income Employee Income Earners No.
est_p_inc_investment_inc_med_age_yrs,Integer,Estimates Of Personal Income Investment Income Earners - Median Age Years
est_p_inc_investment_inc_mn_src_inc_pr100,Double,Estimates Of Personal Income Investment Income As Main Source Of Income %
est_p_inc_investment_inc_num,Integer,Estimates Of Personal Income Investment Income Earners No.
est_p_inc_med_emply_inc_aud,Integer,Estimates Of Personal Income Median Employee Income $
est_p_inc_med_investment_inc_aud,Integer,Estimates Of Personal Income Median Investment Income $
est_p_inc_med_own_unincorportd_bsns_inc_aud,Integer,Estimates Of Personal Income Median Own Unincorporated Business Income $
est_p_inc_med_super_annuity_inc_aud,Integer,Estimates Of Personal Income Median Superannuation And Annuity Income $
est_p_inc_med_tot_inc_excl_gov_pnsn_aud,Integer,Estimates Of Personal Income Median Total Income (Excl. Government Pensions) $
est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,Integer,Estimates Of Personal Income Own Unincorporated Business Income Earners - Median Age  Years
est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,Double,Estimates Of Personal Income Own Unincorporated Business Income As Main Source Of Income  %
est_p_inc_own_unincorportd_bsns_inc_num,Integer,Estimates Of Personal Income Own Unincorporated Business Income Earners No.
est_p_inc_super_annuity_inc_med_age_yrs,Integer,Estimates Of Personal Income Superannuation And Annuity Income Earners - Median Age Years
