SA3Code,PosNum,NeuNum,NegNum
20604,73236,87230,16040
11703,72166,82880,14778
12104,6340,6486,1281
21005,4901,6694,1680
20607,18326,18231,4142
20602,2767,2706,758
20701,6476,5760,1730
11701,4413,6558,1096
11801,18549,19999,3572
12501,3798,4655,853
12403,2829,2509,635
12401,1932,3068,452
12101,3103,3196,762
12203,5124,4769,1194
20802,5040,5111,1519
20703,1881,2422,707
20606,10549,10107,2433
20902,2370,2584,971
20901,2972,2429,943
21105,5517,5921,1475
10201,3466,3604,763
12003,3316,3676,1039
12001,1845,2007,516
11702,4883,4955,1253
12002,3896,4234,956
11902,1475,1490,605
11802,7132,7144,1402
20601,5697,6445,1800
20904,3583,3241,1431
20605,17545,17897,4383
21205,4960,4130,1360
21301,2641,2340,1155
21304,2508,2452,969
21204,3386,3467,1286
21202,1908,1861,521
21305,4966,4663,1723
12202,2895,3370,544
12504,2748,3240,649
12201,3416,3827,608
11901,1260,1402,365
12102,906,1033,208
12602,2634,3138,620
11601,1517,2181,668
12601,328,442,77
21003,1587,1199,576
20803,3952,3636,1325
11904,2115,2047,585
20603,2737,2325,868
21302,2870,2881,858
12802,1886,1563,383
12801,3525,3715,761
12502,683,719,226
21103,2783,2234,763
20801,4565,5747,1628
21101,3583,3014,1357
20903,1291,1120,338
21402,5303,4758,930
12503,1001,1193,294
21002,558,571,199
11603,1386,1135,281
12303,267,273,65
20804,2131,2531,481
21303,4544,5113,1384
12103,1251,1070,285
12702,1471,1276,404
12402,168,299,39
12302,2062,1863,571
21203,1727,1587,634
21401,3921,3595,1505
21001,1510,1237,524
12703,1382,1308,455
11501,2283,2278,503
11504,349,397,78
11602,1009,885,243
12701,728,724,180
21201,1315,1781,325
21004,1177,1182,719
10202,1970,1876,363
11502,447,588,88
20702,1806,1557,552
11903,1152,1039,320
12404,615,621,144
21104,1098,1108,410
21102,798,540,253
11503,351,448,64
12405,267,430,105
12301,582,621,178
