SA3Code,SA3Name,Income,TotalNum,TeenNum,MiddleNum,OldNum,TweetNum,PosNum,NeuNum,NegNum
20601,Brunswick - Coburg,61743,94533,37933,42109,14491,13942,5697,6445,1800
20902,Darebin - North,53191,102226,40416,42606,19204,5925,2370,2584,971
21003,Moreland - North,53870,81716,32584,33774,15358,3362,1587,1199,576
21105,Yarra Ranges,55163,156065,59816,62742,33507,12913,5517,5921,1475
21303,Maribyrnong,59248,89361,36987,40393,11981,11041,4544,5113,1384
20604,Melbourne City,70063,159050,88973,55362,14715,176506,73236,87230,16040
20904,Whittlesea - Wallan,52318,233187,99753,96562,36872,8255,3583,3241,1431
21302,Hobsons Bay,66925,89723,32824,38885,18014,6609,2870,2881,858
20702,Manningham - West,61552,96871,33988,36766,26117,3915,1806,1557,552
21202,Casey - North,54777,139108,57796,56642,24670,4290,1908,1861,521
20701,Boroondara,95761,179615,72628,69463,37524,13966,6476,5760,1730
20801,Bayside,99223,104274,36749,41738,25787,11940,4565,5747,1628
21004,Sunbury,57928,41763,16930,16947,7886,3078,1177,1182,719
21201,Cardinia,54309,102704,45077,41177,16450,3421,1315,1781,325
21304,Melton - Bacchus Marsh,55339,167750,75179,69780,22791,5929,2508,2452,969
21402,Mornington Peninsula,59166,163847,54145,59443,50259,10991,5303,4758,930
20606,Stonnington - West,105934,69283,26849,29487,12947,23089,10549,10107,2433
21101,Knox,55511,161813,61383,66225,34205,7954,3583,3014,1357
20802,Glen Eira,73049,159622,63349,65328,30945,11670,5040,5111,1519
20803,Kingston,62987,124555,44256,53078,27221,8913,3952,3636,1325
21002,Macedon Ranges,64199,31312,11902,12774,6636,1328,558,571,199
20602,Darebin - South,69498,56519,21296,25988,9235,6231,2767,2706,758
21103,Maroondah,57223,115961,44013,47712,24236,5780,2783,2234,763
20607,Yarra,78428,96656,38021,44455,14180,40699,18326,18231,4142
21102,Manningham - East,76605,27452,10305,10714,6433,1591,798,540,253
21305,Wyndham,55005,246455,111670,107103,27682,11352,4966,4663,1723
20605,Port Phillip,86482,110598,37901,54683,18014,39825,17545,17897,4383
20804,Stonnington - East,101451,44454,18539,17025,8890,5143,2131,2531,481
21203,Casey - South,51544,187712,86783,78339,22590,3948,1727,1587,634
21205,Monash,58084,188673,78747,69827,40099,10450,4960,4130,1360
20703,Whitehorse - West,62240,109475,45742,40986,22747,5010,1881,2422,707
20903,Nillumbik - Kinglake,67470,68608,26757,28372,13479,2749,1291,1120,338
21001,Keilor,63121,62472,21950,24530,15992,3271,1510,1237,524
21204,Dandenong,45640,200015,81605,78740,39670,8139,3386,3467,1286
20901,Banyule,65720,129192,47940,52085,29167,6344,2972,2429,943
21301,Brimbank,47827,197888,82599,79128,36161,6136,2641,2340,1155
21401,Frankston,53982,140739,53739,57962,29038,9021,3921,3595,1505
