,total tweets,travel tweets,population,income
Goulburn - Mulwaree,1997,144,62.0,53089
Taree - Gloucester,4275,594,56.5,44021
Sydney Inner City,369309,41427,84.6,78454
Campbelltown (NSW),9523,446,66.5,53755
Sutherland - Menai - Heathcote,8467,546,64.6,67834
Surf Coast - Bellarine Peninsula,13346,1420,59.2,57795
Brunswick - Coburg,30982,1959,74.7,61743
Darebin - North,14468,817,69.5,53191
Moreland - North,7987,275,66.0,53870
Yarra Ranges,28152,2053,65.2,55163
Maribyrnong,24283,1593,74.5,59248
Sherwood - Indooroopilly,5732,285,73.9,81720
Darling Downs (West) - Maranoa,2066,116,62.2,55943
Gold Coast Hinterland,3773,669,63.4,53737
Norwood - Payneham - St Peters,5065,381,66.4,69866
Prospect - Walkerville,2426,215,67.5,75464
Playford,4133,184,64.5,46761
Holdfast Bay,8826,1560,62.7,67694
Lower North,2239,192,59.4,50049
Outback - North and East,2213,239,66.2,63408
Gosnells,3876,162,67.0,57664
Goldfields,2544,107,70.0,76039
North East,4200,258,60.3,46534
Kempsey - Nambucca,3467,172,57.7,42226
Alice Springs,16106,1298,71.0,63605
Baulkham Hills,10700,610,64.9,73477
Ku-ring-gai,5606,435,62.0,105701
Penrith,12949,357,66.6,60226
Carlingford,3488,267,66.1,58919
Melbourne City,396568,51332,87.1,70063
Whittlesea - Wallan,18635,444,66.9,52318
Hobsons Bay,14706,979,66.3,66925
Cleveland - Stradbroke,9573,823,61.6,61605
Townsville,14375,875,67.8,60953
Gympie - Cooloola,2039,168,59.0,44134
Mitcham,4771,275,62.9,66562
Eyre Peninsula and South West,7674,1357,62.2,56410
Limestone Coast,4104,278,62.0,51370
Joondalup,8359,581,66.3,70475
Rockingham,4750,340,65.3,68007
Hobart - North East,4062,286,61.9,55544
Queanbeyan,4468,309,68.0,69377
Lower Murray,516,46,60.9,49031
Dural - Wisemans Ferry,2461,255,63.3,84334
Marrickville - Sydenham - Petersham,23763,1865,74.5,69448
Parramatta,14872,906,68.9,57982
Weston Creek,911,67,59.0,73745
Manningham - West,8898,342,62.6,61552
Casey - North,9897,303,67.0,54777
Biloela,228,11,64.0,63532
Gladstone,2569,194,66.5,76976
Gold Coast - North,4052,420,62.5,54665
Ipswich Hinterland,2641,189,62.1,48871
